var_type,format,voice_type_main,voice_type_desc,voice,giovani,famiglie_bassa,famiglie_media,famiglie_alta,pensionati_bassa,pensionati_media
isc,sportello,total,total,Totale,58.97,63.42,94.55,102.49,71.3,102.42
valore,online,base,base,Canone,24,0,0,0,48,24
valore,online,base,base,Nowbanking Privati,0,0,0,0,0,0
valore,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento allo sportello,1,1,1,1,1,1
valore,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento online,0.16,0.16,0.16,0.16,0.16,0.16
valore,online,operativita_corrente,gestione della liquidità,Prelievo contante sportello > 500 €,1,1,1,1,1,1
valore,online,operativita_corrente,gestione della liquidità,Versamento in contante e assegni,0,0,0,0,0,0
valore,online,operativita_corrente,gestione della liquidità,Comunicazione Trasparenza,0,0,0,0,0,0
valore,online,operativita_corrente,gestione della liquidità,Invio estratto conto,0,0,0,0,0,0
valore,online,servizi_pagamento,carta di debito,Canone carta di debito,0,0,0,0,0,0
valore,online,servizi_pagamento,carta di debito,Prelievo presso ATM banca del gruppo,0,0,0,0,0,0
valore,online,servizi_pagamento,carta di debito,Prelievo presso ATM altra banca,2.1,2.1,2.1,2.1,2.1,2.1
valore,online,servizi_pagamento,carta di debito,Prelievo presso ATM altri Paesi UE,2.1,2.1,2.1,2.1,2.1,2.1
valore,online,servizi_pagamento,operazioni pagamento con carta debito,Operazioni,0,0,0,0,0,0
valore,online,servizi_pagamento,carta di credito,Carta di credito,30.99,30.99,30.99,30.99,30.99,30.99
valore,online,servizi_pagamento,carta di credito,invio estratto conto,0,0,0,0,0,0
valore,online,servizi_pagamento,carta prepagata,Carta Prepagata,6,12,12,12,12,12
valore,online,servizi_pagamento,carta prepagata,Ricarica carta pregata,0.5,0.5,0.5,0.5,0.5,0.5
valore,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti con assegni,0.35,0.35,0.35,0.35,0.35,0.35
valore,online,servizi_pagamento,"assegni, utenze, imposte",Domiciliazione utenze,0,0,0,0,0,0
valore,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti tasse ed imposte,0,0,0,0,0,0
valore,online,servizi_pagamento,pagamenti ricorrenti,Rata mutuo - addebito in c/c,1.5,1.5,1.5,1.5,1.5,1.5
valore,online,servizi_pagamento,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,1.5,1.5,1.5,1.5,1.5,1.5
valore,online,servizi_pagamento,bonifici,Accredito stipendio/pensione,0,0,0,0,0,0
valore,online,servizi_pagamento,bonifici,Bonifici vs Italia allo sportello,3.5,3.5,3.5,3.5,3.5,3.5
valore,online,servizi_pagamento,bonifici,Bonifici vs Italia online,0.5,0.5,0.5,0.5,0.5,0.5
valore,online,servizi_pagamento,bonifici,Pagamenti ricevuti tramite bonifico,0,0,0,0,0,0
valore,online,total,total,Totale,,,,,,
numero_operazioni,online,base,base,Canone,1,1,1,1,1,1
numero_operazioni,online,base,base,Nowbanking Privati,1,1,1,1,1,1
numero_operazioni,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento allo sportello,0,0,0,0,0,0
numero_operazioni,online,operativita_corrente,gestione della liquidità,Richiesta elenco movimento online,32,24,26,41,10,25
numero_operazioni,online,operativita_corrente,gestione della liquidità,Prelievo contante sportello > 500 €,0,0,0,0,0,0
numero_operazioni,online,operativita_corrente,gestione della liquidità,Versamento in contante e assegni,7,9,10,10,6,6
numero_operazioni,online,operativita_corrente,gestione della liquidità,Comunicazione Trasparenza,4,4,4,4,4,4
numero_operazioni,online,operativita_corrente,gestione della liquidità,Invio estratto conto,4,4,4,4,4,4
numero_operazioni,online,servizi_pagamento,carta di debito,Canone carta di debito,1,1,1,1,1,1
numero_operazioni,online,servizi_pagamento,carta di debito,Prelievo presso ATM banca del gruppo,38,43,42,44,34,42
numero_operazioni,online,servizi_pagamento,carta di debito,Prelievo presso ATM altra banca,5,4,7,5,2,4
numero_operazioni,online,servizi_pagamento,carta di debito,Prelievo presso ATM altri Paesi UE,2,1,2,2,1,1
numero_operazioni,online,servizi_pagamento,operazioni pagamento con carta debito,Operazioni,36,46,54,52,20,32
numero_operazioni,online,servizi_pagamento,carta di credito,Carta di credito,0,0,1,1,0,1
numero_operazioni,online,servizi_pagamento,carta di credito,invio estratto conto,0,0,12,12,0,12
numero_operazioni,online,servizi_pagamento,carta prepagata,Carta Prepagata,1,0,0,0,0,0
numero_operazioni,online,servizi_pagamento,carta prepagata,Ricarica carta pregata,5,0,0,0,0,0
numero_operazioni,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti con assegni,2,7,9,11,5,10
numero_operazioni,online,servizi_pagamento,"assegni, utenze, imposte",Domiciliazione utenze,6,12,18,24,18,24
numero_operazioni,online,servizi_pagamento,"assegni, utenze, imposte",Pagamenti tasse ed imposte,2,4,2,2,2,2
numero_operazioni,online,servizi_pagamento,pagamenti ricorrenti,Rata mutuo - addebito in c/c,0,12,12,12,0,0
numero_operazioni,online,servizi_pagamento,pagamenti ricorrenti,Finanziamento rate acquisti - addebito in c/c,0,12,0,0,0,0
numero_operazioni,online,servizi_pagamento,bonifici,Accredito stipendio/pensione,6,12,12,12,12,12
numero_operazioni,online,servizi_pagamento,bonifici,Bonifici vs Italia allo sportello,0,0,0,0,0,0
numero_operazioni,online,servizi_pagamento,bonifici,Bonifici vs Italia online,9,4,8,10,3,6
numero_operazioni,online,servizi_pagamento,bonifici,Pagamenti ricevuti tramite bonifico,4,2,4,6,2,3
